symbol,datum,bar,box_high,box_low,range_atr,richting,patroon,signaal_tijd,entry_tijd,entry,sl,sl_afstand,qty,risico_eur,tp_overkant,r_overkant,r_2x,r_3x,exit_overkant,exit_2x,exit_3x,max_mee_R,max_tegen_R
AAPL,2026-03-30,5min,250.87,247.03,0.76,LONG,bullish_engulfing,17:00,17:05,246.69,246.23,0.46,4.0537,1.86,250.87,-1.0,-1.0,-1.0,SL,SL,SL,0.0,1.02
AAPL,2026-03-31,5min,249.2,247.64,0.31,LONG,bullish_engulfing,17:00,17:05,247.5,247.27,0.23,4.0404,0.93,249.2,4.826086956522013,2.0,3.0,deadline,TP,TP,6.89,0.0
AAPL,2026-04-06,5min,258.22,256.46,0.34,SHORT,bearish_engulfing,17:05,17:15,259.8,260.12,0.32,3.8491,1.23,256.46,0.9059374999999841,2.0,0.9059374999999841,deadline,TP,deadline,2.59,0.0
AAPL,2026-04-07,5min,256.2,250.17,1.14,LONG,hamer,15:55,16:00,249.31,249.0,0.316,4.011,1.27,256.2,-1.0,-1.0,-1.0,SL,SL,SL,0.97,2.14
AAPL,2026-04-09,5min,260.03,257.96,0.34,LONG,bullish_engulfing,16:00,16:05,256.97,256.07,0.9,3.8915,3.5,260.03,1.9055555555554555,1.9055555555554555,1.9055555555554555,deadline,deadline,deadline,1.93,0.0
AAPL,2026-04-13,5min,260.18,257.52,0.44,LONG,bullish_engulfing,16:05,16:10,257.55,256.66,0.885,3.8828,3.44,260.18,-0.5932203389830955,-0.5932203389830955,-0.5932203389830955,deadline,deadline,deadline,0.42,0.77
AAPL,2026-04-15,5min,260.3,257.81,0.43,SHORT,bearish_engulfing,16:35,16:40,260.6,260.94,0.34,3.8373,1.3,257.81,-1.0,-1.0,-1.0,SL,SL,SL,0.0,4.24
AAPL,2026-04-16,5min,267.16,262.2,0.79,LONG,hamer,16:55,,261.68,261.27,0.411,3.8215,1.57,267.16,,,,niet gevuld,niet gevuld,niet gevuld,0.0,0.0
AAPL,2026-04-17,5min,269.8,266.72,0.5,SHORT,bearish_engulfing,17:15,17:20,271.42,271.97,0.55,3.6843,2.03,266.72,-1.0,-1.0,-1.0,SL,SL,SL,0.0,1.24
AAPL,2026-04-20,5min,273.25,270.33,0.46,SHORT,bearish_engulfing,16:25,16:35,273.53,274.24,0.71,3.6559,2.6,270.33,1.0576056338026847,2.0,1.0576056338026847,deadline,TP,deadline,2.55,0.45
AAPL,2026-04-22,5min,268.6,266.87,0.28,SHORT,bearish_engulfing,15:55,16:00,268.44,268.82,0.38,3.7252,1.42,266.87,-1.0,-1.0,-1.0,SL,SL,SL,0.0,3.55
AAPL,2026-04-27,5min,267.88,265.07,0.45,SHORT,bearish_engulfing,16:00,16:10,267.63,268.2,0.57,3.7365,2.13,265.07,1.4736842105262895,1.4736842105262895,1.4736842105262895,deadline,deadline,deadline,1.77,0.3
AAPL,2026-04-29,5min,269.0,267.04,0.35,SHORT,bearish_engulfing,16:55,,269.6,269.93,0.33,3.7092,1.22,267.04,,,,niet gevuld,niet gevuld,niet gevuld,0.0,0.0
AAPL,2026-05-01,5min,283.75,278.37,0.91,SHORT,inverted_hamer,16:15,,286.12,287.22,1.107,3.4951,3.87,278.37,,,,niet gevuld,niet gevuld,niet gevuld,0.0,0.0
AAPL,2026-05-04,5min,280.63,276.16,0.66,LONG,bullish_engulfing,16:05,16:10,275.76,274.86,0.9,3.6263,3.26,280.63,1.22235803978222,2.0,1.22235803978222,deadline,TP,deadline,2.49,0.07
AAPL,2026-05-05,5min,279.98,276.5,0.51,SHORT,bearish_engulfing,16:10,16:15,279.61,280.0,0.39,3.5764,1.39,276.5,-1.0,-1.0,-1.0,SL,SL,SL,1.28,3.85
AAPL,2026-05-06,5min,283.41,281.07,0.34,SHORT,bearish_engulfing,16:20,16:30,286.23,286.71,0.48,3.4937,1.68,281.07,1.3229166666667542,2.0,3.0,deadline,TP,TP,4.9,0.0
AAPL,2026-05-07,5min,290.33,288.18,0.31,SHORT,bearish_engulfing,16:35,16:40,290.26,290.53,0.265,3.4451,0.91,288.18,-1.0,-1.0,-1.0,SL,SL,SL,0.64,2.77
AAPL,2026-05-08,5min,293.66,290.0,0.55,SHORT,bearish_engulfing,16:55,17:00,294.15,294.76,0.61,3.3996,2.07,290.0,3.0081967213113745,2.0,3.0,deadline,TP,TP,3.23,0.13
AAPL,2026-05-11,5min,292.84,290.3,0.37,LONG,bullish_engulfing,15:50,15:55,290.77,290.23,0.54,3.4391,1.86,292.84,3.833333333333579,2.0,3.0,TP,TP,TP,4.33,0.0
AAPL,2026-05-18,5min,300.66,297.36,0.49,LONG,hamer,16:25,16:30,297.89,297.33,0.566,3.3569,1.9,300.66,-1.0,-1.0,-1.0,SL,SL,SL,0.0,1.87
AAPL,2026-05-22,5min,308.95,305.84,0.55,SHORT,bearish_engulfing,16:20,16:25,308.71,309.13,0.42,3.2393,1.36,305.84,-1.0,-1.0,-1.0,SL,SL,SL,0.21,1.48
AAPL,2026-05-26,5min,311.49,309.35,0.37,SHORT,bearish_engulfing,16:15,16:20,310.99,311.53,0.545,3.2156,1.75,309.35,-1.0,-1.0,-1.0,SL,SL,SL,0.0,1.53
AAPL,2026-05-27,5min,311.55,308.3,0.59,SHORT,bearish_engulfing,16:05,16:10,311.71,312.49,0.78,3.2081,2.5,308.3,-1.0,-1.0,-1.0,SL,SL,SL,0.0,1.36
AAPL,2026-05-28,5min,310.94,309.6,0.25,SHORT,bearish_engulfing,16:30,16:40,311.56,311.79,0.23,3.2097,0.74,309.6,-1.0,-1.0,-1.0,SL,SL,SL,2.0,1.3
AAPL,2026-06-04,5min,313.54,310.44,0.54,LONG,bullish_engulfing,17:55,,310.29,309.97,0.315,3.2228,1.02,313.54,,,,niet gevuld,niet gevuld,niet gevuld,0.0,0.0
AAPL,2026-06-09,5min,300.75,297.05,0.57,LONG,bullish_engulfing,16:35,16:40,292.61,292.24,0.37,3.4175,1.26,300.75,-1.0,-1.0,-1.0,SL,SL,SL,1.92,1.89
AAPL,2026-06-11,5min,293.87,290.37,0.48,LONG,bullish_engulfing,16:20,16:25,290.35,289.75,0.6,3.4441,2.07,293.87,-1.0,-1.0,-1.0,SL,SL,SL,1.33,1.27
AAPL,2026-06-12,5min,297.14,291.88,0.7,LONG,bullish_engulfing,16:00,16:05,291.46,290.61,0.85,3.431,2.92,297.14,-1.0,2.0,-1.0,SL,TP,SL,2.06,1.47
AAPL,2026-06-15,5min,295.83,291.7,0.54,SHORT,bearish_engulfing,16:35,16:40,295.61,296.19,0.58,3.3828,1.96,291.7,-1.0,-1.0,-1.0,SL,SL,SL,0.0,1.88
