date,time,symbol,direction,news_score,news_reason,atr,atr_ratio,entry_price,take_profit,stop_loss,quantity,result,pnl_estimate,pnl_note,strategy,entry_time,exit_time,exit_price,pnl_net,fees,oca_group,chart
2026-08-20,18:17:26,AAPL,SHORT,,,,,316.0,315.0,320.0,12,take_profit_hit,12.0,"benadering o.b.v. beoogde prijzen, niet exacte fill",,,,,,,,
2026-08-24,13:31:14,NVDA,LONG,,,,,216.73,217.49782,216.34609,52.0955,stop_loss_hit,-19.99998340499927,"benadering o.b.v. beoogde prijzen, niet exacte fill",,,,,,,,
2026-08-26,13:56:56,AAPL,SHORT,,,,,311.68,310.6,312.22,3.1763,stop_loss_hit,-1.715202000000065,"benadering o.b.v. beoogde prijzen, niet exacte fill",,,,,,,,
2026-08-27,14:39:01,NVDA,SHORT,,,,,225.825139,223.95965999999999,226.75017,4.3747,take_profit_hit,8.159423583299997,"benadering o.b.v. beoogde prijzen, niet exacte fill",,,,,,,,
2026-08-28,13:49:48,CRM,SHORT,,,,,259.155225,254.81538,260.20731,3.8339,stop_loss_hit,-4.142241407500183,"benadering o.b.v. beoogde prijzen, niet exacte fill",,,,,,,,
2026-08-31,13:47:58,CRM,SHORT,,,,,258.513506,256.553,258.5585,3.8288,stop_loss_hit,-1.403232227199957,"benadering o.b.v. beoogde prijzen, niet exacte fill",,,,,,,,
2026-09-01,13:47:09,MSFT,SHORT,,,,,505.32,499.09749999999997,501.24625,1.9688,stop_loss_hit,-0.2756319999999732,"benadering o.b.v. beoogde prijzen, niet exacte fill",,,,,,,,
2026-09-01,14:25:37,CRM,SHORT,,,,,258.904237,257.39492,259.65253999999993,3.8063,stop_loss_hit,-2.9908497068999025,"benadering o.b.v. beoogde prijzen, niet exacte fill",,,,,,,,
2026-09-03,14:44:41,GOOGL,SHORT,,,,,342.089085,340.07,342.81,2.8687,stop_loss_hit,-2.1541497170649446,"benadering o.b.v. beoogde prijzen, niet exacte fill",,,,,,,,
2026-09-03,14:52:51,ADBE,SHORT,,,,,289.38,284.61,292.88,3.3911,take_profit_hit,16.187280206,"benadering o.b.v. beoogde prijzen, niet exacte fill",,,,,,,,
2026-09-03,14:54:33,JPM,SHORT,,,,,358.64,357.57,360.56,2.7363,stop_loss_hit,-5.582052000000056,"benadering o.b.v. beoogde prijzen, niet exacte fill",,,,,,,,
2026-09-03,15:00:17,TSLA,SHORT,,,,,380.36,367.47,382.11,2.5912,forced_close_90min,,"benadering o.b.v. beoogde prijzen, niet exacte fill",,,,,,,,
2026-09-03,15:14:28,META,SHORT,,,,,615.014931,604.5,616.82,1.5956,forced_close_90min,1.507731903599995,"benadering o.b.v. beoogde prijzen, niet exacte fill",,,,,,,,
2026-09-04,14:34:57,ADBE,LONG,,,,,265.774376,275.81,265.14,3.6921,stop_loss_hit,-3.0805996296000746,"benadering o.b.v. beoogde prijzen, niet exacte fill",,,,,,,,
